Serial Number:20472265 --

"Date Time, GMT -0500","Temp, (*F)","Intensity, ( lum/ft2)","Host Connect","Button Down","Button Up","EOF"
2020-05-25 17:45:51,74.16,377, , , , 
2020-05-25 17:55:51,74.08,251, , , , 
2020-05-25 18:05:51,73.93,217, , , , 
2020-05-25 18:15:51,73.93,174, , , , 
2020-05-25 18:25:51,74.00,317, , , , 
2020-05-25 18:35:51,73.77,154, , , , 
2020-05-25 18:45:51,74.08,508, , , , 
2020-05-25 18:55:51,74.00,350, , , , 
2020-05-25 19:05:51,73.93,229, , , , 
2020-05-25 19:15:51,73.85,224, , , , 
2020-05-25 19:25:51,73.85,214, , , , 
2020-05-25 19:35:51,73.69,150, , , , 
2020-05-25 19:45:51,73.54,114, , , , 
2020-05-25 19:55:51,73.54,88, , , , 
2020-05-25 20:05:51,73.39,66, , , , 
2020-05-25 20:15:51,73.31,45, , , , 
2020-05-25 20:25:51,73.23,27, , , , 
2020-05-25 20:35:51,73.15,11, , , , 
2020-05-25 20:45:51,73.08,3, , , , 
2020-05-25 20:55:51,72.92,1, , , , 
2020-05-25 21:05:51,72.92,0, , , , 
2020-05-25 21:15:51,72.69,0, , , , 
2020-05-25 21:25:51,72.61,0, , , , 
2020-05-25 21:35:51,72.54,0, , , , 
2020-05-25 21:45:51,72.46,0, , , , 
2020-05-25 21:55:51,72.38,0, , , , 
2020-05-25 22:05:51,72.23,0, , , , 
2020-05-25 22:15:51,72.07,0, , , , 
2020-05-25 22:25:51,72.07,0, , , , 
2020-05-25 22:35:51,72.00,0, , , , 
2020-05-25 22:45:51,71.92,0, , , , 
2020-05-25 22:55:51,71.76,0, , , , 
2020-05-25 23:05:51,71.76,0, , , , 
2020-05-25 23:15:51,71.61,0, , , , 
2020-05-25 23:25:51,71.53,0, , , , 
2020-05-25 23:35:51,71.53,0, , , , 
2020-05-25 23:45:51,71.45,0, , , , 
2020-05-25 23:55:51,71.38,0, , , , 
2020-05-26 00:05:51,71.30,0, , , , 
2020-05-26 00:15:51,71.22,0, , , , 
2020-05-26 00:25:51,71.07,0, , , , 
2020-05-26 00:35:51,71.07,0, , , , 
2020-05-26 00:45:51,70.99,0, , , , 
2020-05-26 00:55:51,70.91,0, , , , 
2020-05-26 01:05:51,70.91,0, , , , 
2020-05-26 01:15:51,70.84,0, , , , 
2020-05-26 01:25:51,70.84,0, , , , 
2020-05-26 01:35:51,70.76,0, , , , 
2020-05-26 01:45:51,70.53,0, , , , 
2020-05-26 01:55:51,70.53,0, , , , 
2020-05-26 02:05:51,70.53,0, , , , 
2020-05-26 02:15:51,70.53,0, , , , 
2020-05-26 02:25:51,70.45,0, , , , 
2020-05-26 02:35:51,70.45,0, , , , 
2020-05-26 02:45:51,70.45,0, , , , 
2020-05-26 02:55:51,70.30,0, , , , 
2020-05-26 03:05:51,70.30,0, , , , 
2020-05-26 03:15:51,70.14,0, , , , 
2020-05-26 03:25:51,70.22,0, , , , 
2020-05-26 03:35:51,70.06,0, , , , 
2020-05-26 03:45:51,70.06,0, , , , 
2020-05-26 03:55:51,69.99,0, , , , 
2020-05-26 04:05:51,69.99,0, , , , 
2020-05-26 04:15:51,69.83,0, , , , 
2020-05-26 04:25:51,69.91,0, , , , 
2020-05-26 04:35:51,69.68,0, , , , 
2020-05-26 04:45:51,69.68,0, , , , 
2020-05-26 04:55:51,69.60,1, , , , 
2020-05-26 05:05:51,69.45,3, , , , 
2020-05-26 05:15:51,69.52,7, , , , 
2020-05-26 05:25:51,69.45,16, , , , 
2020-05-26 05:35:51,69.37,28, , , , 
2020-05-26 05:45:51,69.29,45, , , , 
2020-05-26 05:55:51,69.22,71, , , , 
2020-05-26 06:05:51,69.22,92, , , , 
2020-05-26 06:15:51,69.22,139, , , , 
2020-05-26 06:25:51,69.22,227, , , , 
2020-05-26 06:35:51,69.22,241, , , , 
2020-05-26 06:45:51,69.22,204, , , , 
2020-05-26 06:55:51,69.37,225, , , , 
2020-05-26 07:05:51,69.29,319, , , , 
2020-05-26 07:15:51,69.37,386, , , , 
2020-05-26 07:25:51,69.29,274, , , , 
2020-05-26 07:35:51,69.37,359, , , , 
2020-05-26 07:45:51,69.52,401, , , , 
2020-05-26 07:55:51,69.45,411, , , , 
2020-05-26 08:05:51,69.60,595, , , , 
2020-05-26 08:15:51,69.52,347, , , , 
2020-05-26 08:25:51,69.37,220, , , , 
2020-05-26 08:35:51,69.68,226, , , , 
2020-05-26 08:45:51,69.68,230, , , , 
2020-05-26 08:55:51,69.83,278, , , , 
2020-05-26 09:05:51,69.83,263, , , , 
2020-05-26 09:15:51,70.37,"1,647", , , , 
2020-05-26 09:25:51,70.99,320, , , , 
2020-05-26 09:35:51,71.30,950, , , , 
